id,Name,Code
403,헥토이노베이션,214180
404,케이엔제이,272110
405,마이크로컨텍솔,098120
406,셀비온,308430
407,소룩스,290690
408,심텍홀딩스,036710
409,시너지이노베이션,048870
410,PS일렉트로닉스,332570
411,오가노이드사이언스,476040
412,아스트,067390
413,안트로젠,065660
414,케이에스피,073010
415,에치에프알,230240
416,인터로조,119610
417,아나패스,123860
418,풍원정밀,371950
419,네오위즈홀딩스,042420
420,나인테크,267320
421,노바텍,285490
422,어보브반도체,102120
423,에이팩트,200470
424,서호전기,065710
425,일승,333430
426,우진엔텍,457550
427,이크레더블,092130
428,리파인,377450
429,바이오비쥬,489460
430,인터플렉스,051370
431,엠아이텍,179290
432,SG,255220
433,삼영엠텍,054540
434,비트플래닛,049470
435,엘티씨,170920
436,한국알콜,017890
437,제닉스로보틱스,381620
438,엠케이전자,033160
439,신흥에스이씨,243840
440,삼양엔씨켐,482630
441,에이유브랜즈,481070
442,디지털대성,068930
443,싸이맥스,160980
444,모두투어,080160
445,제테마,216080
446,DSC인베스트먼트,241520
447,모트렉스,118990
448,삼지전자,037460
449,우양에이치씨,101970
450,아이디스,143160
451,한국피아이엠,448900
452,텔레칩스,054450
453,에스앤디,260970
454,이수앱지스,086890
455,세경하이테크,148150
456,디에스케이,109740
457,HB테크놀러지,078150
458,탑머티리얼,360070
459,뉴엔AI,463020
460,엑시콘,092870
461,멀티캠퍼스,067280
462,원일티엔아이,136150
463,압타바이오,293780
464,에이치이엠파마,376270
465,코윈테크,282880
466,인선이엔티,060150
467,현대사료,016790
468,레드캡투어,038390
469,이지바이오,353810
470,유비케어,032620
471,큐알티,405100
472,금화피에스시,036190
473,킵스파마,256940
474,유비쿼스홀딩스,078070
475,엘앤케이바이오,156100
476,애니플러스,310200
477,지니언스,263860
478,국전약품,307750
479,비씨엔씨,146320
480,링크솔루션,474650
481,KG모빌리언스,046440
482,흥구석유,024060
483,YTN,040300
484,오상헬스케어,036220
485,대한약품,023910
486,새빗켐,107600
487,티이엠씨,425040
488,뷰웍스,100120
489,이니텍,053350
490,경동제약,011040
491,블루엠텍,439580
492,HB솔루션,297890
493,파이버프로,368770
494,로보로보,215100
495,새로닉스,042600
496,동방메디컬,240550
497,BGF에코머티리얼즈,126600
498,이노와이어리스,073490
499,오킨스전자,080580
500,엠플러스,259630
501,드림시큐리티,203650
502,제닉,123330
503,에스오에스랩,464080
